xxx

|      :date |  :amount |            :from |       :id | :sucursal |
| 01/12/2021 |      0.0 | mant xxx 2021-12 |           |           |
|  01/1/2022 |      0.0 |  mant xxx 2022-1 |           |           |
|  01/2/2022 |      0.0 |  mant xxx 2022-2 |           |           |
|  01/3/2022 |      0.0 |  mant xxx 2022-3 |           |           |
|  01/4/2022 |      0.0 |  mant xxx 2022-4 |           |           |
|  01/5/2022 |      0.0 |  mant xxx 2022-5 |           |           |
|  01/6/2022 |      0.0 |  mant xxx 2022-6 |           |           |
|  01/7/2022 |      0.0 |  mant xxx 2022-7 |           |           |
|  01/8/2022 |      0.0 |  mant xxx 2022-8 |           |           |
|  01/9/2022 |      0.0 |  mant xxx 2022-9 |           |           |
| 01/10/2022 |      0.0 | mant xxx 2022-10 |           |           |
| 01/11/2022 |      0.0 | mant xxx 2022-11 |           |           |
| 01/12/2022 |      0.0 | mant xxx 2022-12 |           |           |


 quotas: 0
 paid: 19986
 balance: 19986
